file,pattern,match_or_content,context
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ཐ་,"<hi rend=""head"">ཐ་</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ཆ,"<hi rend=""head"">ཆ</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0017.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0019.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE011/UT011_0019.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0019.xml,short_head,ང,"<hi rend=""head"">ང</hi>"
archive/VE011/UT011_0019.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0019.xml,short_head,སྦ,"<hi rend=""head"">སྦ</hi>"
archive/VE011/UT011_0020.xml,short_head,འི,"<hi rend=""head"">འི</hi>"
archive/VE011/UT011_0021.xml,short_head,བ,"<hi rend=""head"">བ</hi>"
archive/VE011/UT011_0021.xml,short_head,ལ,"<hi rend=""head"">ལ</hi>"
archive/VE011/UT011_0021.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0023.xml,short_head,བླ,"<hi rend=""head"">བླ</hi>"
archive/VE011/UT011_0026.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0027.xml,short_head,ས,"<hi rend=""head"">ས</hi>"
archive/VE011/UT011_0029.xml,short_head,ཕ,"<hi rend=""head"">ཕ</hi>"
archive/VE011/UT011_0032.xml,short_head,སྦ,"<hi rend=""head"">སྦ</hi>"
archive/VE011/UT011_0035.xml,short_head,ིན,"<hi rend=""head"">ིན</hi>"
archive/VE011/UT011_0035.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0035.xml,short_head,ཇེ,"<hi rend=""head"">ཇེ</hi>"
archive/VE011/UT011_0036.xml,short_head,འ,"<hi rend=""head"">འ</hi>"
